exponent,min_runtime_old,min_runtime_new
228, 2.607100032037124e-05,4.599998646881431e-06
229, 2.6251000235788524e-05,5.059999239165336e-06
230, 2.6010999135905877e-05,5.010999302612618e-06
231, 2.6459998480277136e-05,5.500001861946657e-06
232, 2.6429999707033858e-05,4.539997462416068e-06
233, 2.6530000468483195e-05,4.980000085197389e-06
234, 2.666000000317581e-05,5.080000846646726e-06
235, 2.5770001229830086e-05,5.49999822396785e-06
236, 2.6439996872795746e-05,5.089998012408614e-06
237, 2.6440000510774553e-05,5.5300006351899356e-06
238, 2.7680001949192956e-05,5.390000296756625e-06
239, 2.7160000172443688e-05,5.99000122747384e-06
240, 2.7360001695342362e-05,4.890000127488747e-06
241, 2.764999953797087e-05,5.2200011850800365e-06
242, 2.7490001230034977e-05,5.1200004236306995e-06
243, 2.7640002372208983e-05,5.589998181676492e-06
244, 2.7689999114954844e-05,5.030000465922058e-06
245, 2.8469999961089343e-05,5.550002242671326e-06
246, 2.8070000553270802e-05,5.49999822396785e-06
247, 2.8270002076169476e-05,5.890000466024503e-06
248, 2.8940001357113943e-05,5.160000000614673e-06
249, 2.8800001018680632e-05,5.579997377935797e-06
250, 2.8980000934097916e-05,5.570000212173909e-06
251, 2.9500002710847184e-05,6.100002792663872e-06
252, 2.9400001949397847e-05,5.709000106435269e-06
253, 3.0448998586507514e-05,6.219997885636985e-06
254, 3.134999860776588e-05,6.149999535409734e-06
255, 3.192000076523982e-05,6.72000169288367e-06
256, 3.1460000172955915e-05,4.380002792458981e-06
257, 2.972999936901033e-05,4.779998562298715e-06
258, 3.262999962316826e-05,4.78999936603941e-06
259, 3.274000118835829e-05,5.279998731566593e-06
260, 3.296000068075955e-05,4.779998562298715e-06
261, 3.0219998734537512e-05,5.160000000614673e-06
262, 3.208000271115452e-05,5.070000042906031e-06
263, 3.352000203449279e-05,5.660000169882551e-06
264, 3.156000093440525e-05,4.440000338945538e-06
265, 3.2599997211946175e-05,5.029000021750107e-06
266, 3.194000237272121e-05,4.960002115694806e-06
267, 3.156999810016714e-05,5.5199998314492404e-06
268, 3.1930001568980515e-05,4.9100017349701375e-06
269, 3.279999873484485e-05,5.679998139385134e-06
270, 3.3960001019295305e-05,5.570000212173909e-06
271, 3.291000030003488e-05,6.08999835094437e-06
272, 3.262000245740637e-05,4.749999789055437e-06
273, 3.1859999580774456e-05,5.339999916031957e-06
274, 3.284999911556952e-05,5.059999239165336e-06
275, 3.310999818495475e-05,5.360001523513347e-06
276, 3.386000025784597e-05,5.130998033564538e-06
277, 3.5749002563534304e-05,5.800000508315861e-06
278, 3.628000195021741e-05,5.760000931331888e-06
279, 3.650000144261867e-05,6.2489998526871204e-06
280, 3.3111002267105505e-05,5.279998731566593e-06
281, 3.370899867150001e-05,5.919999239267781e-06
282, 3.7140001950319856e-05,5.699999746866524e-06
283, 3.7590001738863066e-05,6.229001883184537e-06
284, 3.691999881993979e-05,5.760000931331888e-06
285, 3.6180001188768074e-05,6.279999070102349e-06
286, 3.7900001188972965e-05,6.289999873843044e-06
287, 3.5049997677560896e-05,6.599999323952943e-06
288, 3.805000233114697e-05,4.90999809699133e-06
289, 3.803999788942747e-05,5.459998646983877e-06
290, 3.8800000766059384e-05,5.480000254465267e-06
291, 3.8440000935224816e-05,5.879999662283808e-06
292, 3.8630001654382795e-05,5.390000296756625e-06
293, 3.897999704349786e-05,5.989997589495033e-06
294, 3.876000118907541e-05,5.840000085299835e-06
295, 3.981999907409772e-05,6.468999345088378e-06
296, 3.943000047001988e-05,5.449997843243182e-06
297, 3.878999996231869e-05,5.9200028772465885e-06
298, 4.003999856649898e-05,5.85000088904053e-06
299, 3.994000144302845e-05,6.310001481324434e-06
300, 3.968999953940511e-05,5.800000508315861e-06
301, 3.5799999750452116e-05,5.840000085299835e-06
302, 3.9459999243263155e-05,6.0300008044578135e-06
303, 3.849999848171137e-05,6.608999683521688e-06
304, 3.963999915868044e-05,5.208999937167391e-06
305, 3.6460001865634695e-05,5.8200021157972515e-06
306, 3.7149999116081744e-05,5.739999323850498e-06
307, 3.4669999877223745e-05,6.0300008044578135e-06
308, 3.904000186594203e-05,5.639998562401161e-06
309, 3.7969999539200217e-05,5.96999961999245e-06
310, 3.935999848181382e-05,6.179998308653012e-06
311, 3.961999755119905e-05,6.70000008540228e-06
312, 4.147000072407536e-05,5.469999450724572e-06
313, 3.9200000173877925e-05,6.319998647086322e-06
314, 3.86200008506421e-05,6.2399994931183755e-06
315, 4.012999852420762e-05,6.210000719875097e-06
316, 4.159000309300609e-05,6.210000719875097e-06
317, 4.0049999370239675e-05,6.719998054904863e-06
318, 3.786000161198899e-05,6.2489998526871204e-06
319, 4.250900019542314e-05,7.110997103154659e-06
320, 4.0830000216374174e-05,4.699999408330768e-06
321, 3.76799980585929e-05,5.300000339047983e-06
322, 4.0569997509010136e-05,5.339999916031957e-06
323, 4.1539999074302614e-05,5.770001735072583e-06
324, 4.071999865118414e-05,5.399997462518513e-06
325, 4.0779999835649505e-05,5.680001777363941e-06
326, 4.0490001993020996e-05,5.800000508315861e-06
327, 4.138999793212861e-05,6.250000296859071e-06
328, 4.1159997635986656e-05,5.2299983508419245e-06
329, 4.3129002733621746e-05,5.791000148747116e-06
330, 4.3020001612603664e-05,5.770998541265726e-06
331, 4.315999831305817e-05,6.160000339150429e-06
332, 4.45100013166666e-05,5.7300021580886096e-06
333, 4.34099965787027e-05,6.310001481324434e-06
334, 4.43600001744926e-05,6.210000719875097e-06
335, 4.032000288134441e-05,6.589998520212248e-06
336, 4.437000097823329e-05,5.350000719772652e-06
337, 4.5169999793870375e-05,5.869998858543113e-06
338, 4.176000220468268e-05,5.760000931331888e-06
339, 4.619000173988752e-05,6.160000339150429e-06
340, 4.409999746712856e-05,5.739999323850498e-06
341, 4.569999873638153e-05,6.351001502480358e-06
342, 4.551999882096425e-05,6.231002771528438e-06
343, 4.6940000174799934e-05,6.688998837489635e-06
344, 4.545099727693014e-05,5.85100133321248e-06
345, 4.694999734056182e-05,6.179998308653012e-06
346, 4.7009998525027186e-05,6.220001523615792e-06
347, 4.7030000132508576e-05,6.70000008540228e-06
348, 4.692000220529735e-05,6.289999873843044e-06
349, 4.789000013261102e-05,6.779999239370227e-06
350, 4.810999962501228e-05,6.660000508418307e-06
351, 4.867099778493866e-05,7.110000296961516e-06
352, 4.898000042885542e-05,5.300000339047983e-06
353, 4.945999899064191e-05,5.890997272217646e-06
354, 4.572999750962481e-05,5.899997631786391e-06
355, 4.878999970969744e-05,6.3400002545677125e-06
356, 4.9250000301981345e-05,5.740002961829305e-06
357, 4.954000178258866e-05,6.4300002122763544e-06
358, 5.006999708712101e-05,6.369999027810991e-06
359, 4.986999920220114e-05,6.750000466126949e-06
360, 4.286900002625771e-05,5.959998816251755e-06
361, 4.825100040761754e-05,6.3400002545677125e-06
362, 4.842999987886287e-05,6.399997801054269e-06
363, 4.937999983667396e-05,7.099999493220821e-06
364, 4.9640002544038e-05,6.259997462620959e-06
365, 4.923999949824065e-05,6.360001862049103e-06
366, 4.889000047114678e-05,7.030001142993569e-06
367, 4.8210000386461616e-05,7.390000973828137e-06
368, 4.914000237477012e-05,6.080001185182482e-06
369, 4.957000055583194e-05,6.499998562503606e-06
370, 4.865999653702602e-05,6.46000262349844e-06
371, 4.805999924428761e-05,6.6599968704395e-06
372, 4.7970002924557775e-05,6.170001142891124e-06
373, 4.842899943469092e-05,6.400001439033076e-06
374, 4.845999865210615e-05,6.5399981394875795e-06
375, 4.9199999921256676e-05,6.959999154787511e-06
376, 4.949999856762588e-05,6.08999835094437e-06
377, 4.907999755232595e-05,6.510003004223108e-06
378, 4.926000110572204e-05,6.610000127693638e-06
379, 4.937000267091207e-05,6.919999577803537e-06
380, 4.942999657941982e-05,6.450001819757745e-06
381, 4.9980000767391175e-05,6.989997928030789e-06
382, 5.053000131738372e-05,6.959999154787511e-06
383, 5.2120001782896e-05,7.400001777568832e-06
384, 5.250899994280189e-05,5.0199996621813625e-06
385, 5.3029998525744304e-05,5.459998646983877e-06
386, 5.298000178299844e-05,5.550002242671326e-06
387, 5.204999979468994e-05,5.959998816251755e-06
388, 5.3160001698415726e-05,5.369998689275235e-06
389, 5.372000305214897e-05,5.9300000430084765e-06
390, 5.385000258684158e-05,5.9399972087703645e-06
391, 5.3899999329587445e-05,6.450998625950888e-06
392, 5.4720003390684724e-05,5.440000677481294e-06
393, 5.510999835678376e-05,5.879999662283808e-06
394, 5.3610001486958936e-05,5.909998435527086e-06
395, 5.3899999329587445e-05,6.419999408535659e-06
396, 5.36599982297048e-05,5.959998816251755e-06
397, 5.421999958343804e-05,6.289999873843044e-06
398, 5.3569998271996155e-05,6.350001058308408e-06
399, 5.4180000006454065e-05,6.67999847792089e-06
400, 5.416999920271337e-05,5.570000212173909e-06
401, 5.4510001064045355e-05,6.020000000717118e-06
402, 5.410000085248612e-05,5.859998054802418e-06
